species_or_node,posterior_mean
Sp1.Node92,-0.0596598596075223
Sp1.Arctium minus,-0.0607317969720006
Sp1.Euphorbia amygdaloides,-0.060851644385324
Sp1.Node4,-0.0619480778985856
Sp1.Node370,-0.0621966068916915
Sp1.Euphorbia peplus,-0.0624281893814815
Sp1.Node374,-0.0624466190344415
Sp1.Cardamine hirsuta,-0.0628442367161006
Sp1.Cirsium eriophorum,-0.0630931733558603
Sp1.Node8,-0.0646103832914557
Sp1.Node376,-0.0673294564685468
Sp1.Node373,-0.067959725236147
Sp1.Node793,-0.0684514615317773
Sp1.Node555,-0.0685910374620634
Sp1.Node585,-0.0690400245644339
Sp1.Node547,-0.0697793008605793
Sp1.Carduus tenuiflorus,-0.0721925464606437
Sp1.Geranium pusillum,-0.0740629297438584
Sp1.Node554,-0.0741374715202329
Sp1.Fumaria occidentalis,-0.0754932858873244
Sp1.Node859,-0.0755185734631705
Sp1.Node794,-0.0761589786004829
Sp1.Fumaria purpurea,-0.0762043653547446
Sp1.Plantago maritima,-0.0766593684589004
Sp1.Fumaria capreolata,-0.0768528523462008
Sp1.Node281,-0.0772109072435999
Sp1.Node41,-0.0785159484293977
Sp1.Node857,-0.0793120703736883
Sp1.Parapholis incurva,-0.0798550922290866
Sp1.Node318,-0.0812576322270269
Sp1.Parapholis strigosa,-0.0815531823140296
Sp1.Node548,-0.0818460388900124
Sp1.Node549,-0.0819779992429735
Sp1.Node7,-0.082931155739043
Sp1.Callitriche platycarpa,-0.0841806474105978
Sp1.Node550,-0.0847362117961113
Sp1.Node826,-0.0847732706157082
Sp1.Callitriche obtusangula,-0.0878275687607729
Sp1.Alopecurus geniculatus,-0.0882202062450681
Sp1.Node1034,-0.0889740963050911
Sp1.Callitriche brutia,-0.0913918529928588
