Stace_4_Species,Plantlist,taxon name,Ploidy,Chromosome_number,Base,AnnPer,ddb id,qualifier,authority,vernacular,accepted name,accepted authority,accepted entity id,verification,taxonContext,canonical,brcConcept,tvk,rank,hybrid,bsbiStatus,Atlas 2000 status,genus,family,childtaxa,childtaxaauth,GB status,IE status,CI status,url,
Chaerophyllum temulum,Chaerophyllum temulum,Chaerophyllum temulum,,,,B,2cd4p9h.ph,,L.,Rough Chervil,,,,unchecked,b,Chaerophyllum temulum,Vas_476,NBNSYS0000003638,species,,N,N,Chaerophyllum,Apiaceae,Chaerophyllum temulum var. canescens;Chaerophyllum temulum var. temulum,Chaerophyllum temulum var. canescens (Benitez ex Thell.) P.D.Sell;Chaerophyllum temulum var. temulum L.,native,alien,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.ph&class=TaxonInstance,
Chamaemelum nobile,Chamaemelum nobile,Chamaemelum nobile,2,18,9,P,2cd4p9h.8ar,,(L.) All.,Chamomile,,,,unchecked,b,Chamaemelum nobile,Vas_119,NBNSYS0000004450,species,,N,N,Chamaemelum,Asteraceae,Chamaemelum nobile f. duplicatum;Chamaemelum nobile f. nobile;Chamaemelum nobile f. nudum,Chamaemelum nobile f. duplicatum (Gray) P.D.Sell;Chamaemelum nobile f. nobile (L.) All.;Chamaemelum nobile f. nudum (Gray) P.D.Sell,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.8ar&class=TaxonInstance,
Chamaenerion angustifolium,Epilobium angustifolium,Chamerion angustifolium,2,36,18,P,2cd4p9h.4z2,,(L.) Holub,Rosebay Willowherb,,,,unchecked,b,Chamerion angustifolium,Vas_477,NBNSYS0000003598,species,,N,N,Chamerion,Onagraceae,Chamerion angustifolium 'Album',Chamerion angustifolium 'Album',native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.4z2&class=TaxonInstance,
Chelidonium majus,Chelidonium majus,Chelidonium majus,2,12,6,P,2cd4p9h.yha,,L.,Greater Celandine,,,,confirmed,b,Chelidonium majus,Vas_480,NBNSYS0000002775,species,,N,Ar,Chelidonium,Papaveraceae,Chelidonium majus var. laciniatum;Chelidonium majus 'Flore Pleno',Chelidonium majus var. laciniatum;Chelidonium majus 'Flore Pleno',archaeophyte,archaeophyte,archaeophyte,https://database.bsbi.org/object.php?entityid=2cd4p9h.yha&class=TaxonInstance,
Chenopodium album,Chenopodium album,Chenopodium album,,,,A,2cd4p9h.pn,agg.,L.,,,,,unchecked,b,Chenopodium album,Vas_481,NBNSYS0000003091,species,,,,Chenopodium,Amaranthaceae,Chenopodium giganteum;Chenopodium album s.s.,Chenopodium giganteum D.Don;Chenopodium album L. s.s.,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.pn&class=TaxonInstance,
Blitum bonus-henricus,Chenopodium bonus-henricus,Chenopodium bonus-henricus,4,36,9,P,2cd4p9h.yhd,,L.,Good-King-Henry,,,,unchecked,b,Chenopodium bonus-henricus,Vas_484,NBNSYS0000003088,species,,A,Ar,Chenopodium,Amaranthaceae,,,archaeophyte,archaeophyte,archaeophyte,https://database.bsbi.org/object.php?entityid=2cd4p9h.yhd&class=TaxonInstance,
Oxybasis chenopodioides,Oxybasis chenopodioides,Chenopodium chenopodioides,,,,A,2cd4p9h.4z5,,(L.) Aellen,Saltmarsh Goosefoot,,,,unchecked,b,Chenopodium chenopodioides,Vas_485,NBNSYS0000003103,species,,N,N,Chenopodium,Amaranthaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.4z5&class=TaxonInstance,
Chenopodium ficifolium,Chenopodium ficifolium,Chenopodium ficifolium,2,18,9,A,2cd4p9h.8gv,,Sm.,Fig-leaved Goosefoot,,,,unchecked,b,Chenopodium ficifolium,Vas_487,NHMSYS0000457262,species,,N,Ar,Chenopodium,Amaranthaceae,,,archaeophyte,archaeophyte,archaeophyte,https://database.bsbi.org/object.php?entityid=2cd4p9h.8gv&class=TaxonInstance,
Oxybasis glauca,Oxybasis glauca,Chenopodium glaucum,,,,A,2cd4p9h.br4,,L.,Oak-leaved Goosefoot,,,,unchecked,b,Chenopodium glaucum,Vas_488,NBNSYS0000003104,species,,A,Ar,Chenopodium,Amaranthaceae,,,archaeophyte,archaeophyte,archaeophyte,https://database.bsbi.org/object.php?entityid=2cd4p9h.br4&class=TaxonInstance,
Chenopodiastrum hybridum,Chenopodiastrum hybridum,Chenopodium hybridum,,,,A,2cd4p9h.8gx,,L.,Maple-leaved Goosefoot,,,,unchecked,b,Chenopodium hybridum,Vas_490,NBNSYS0000003101,species,,N,Ar,Chenopodium,Amaranthaceae,,,archaeophyte,archaeophyte,archaeophyte,https://database.bsbi.org/object.php?entityid=2cd4p9h.8gx&class=TaxonInstance,
Chenopodiastrum murale,Chenopodiastrum murale,Chenopodium murale,,,,A,2cd4p9h.yhg,,L.,Nettle-leaved Goosefoot,,,,unchecked,b,Chenopodium murale,Vas_491,NBNSYS0000003099,species,,N,Ar,Chenopodium,Amaranthaceae,,,archaeophyte,archaeophyte,archaeophyte,https://database.bsbi.org/object.php?entityid=2cd4p9h.yhg&class=TaxonInstance,
Lipandra polysperma,Lipandra polysperma,Chenopodium polyspermum,,,,A,2cd4p9h.xg8,,L.,Many-seeded Goosefoot,,,,unchecked,b,Chenopodium polyspermum,Vas_493,NBNSYS0000003089,species,,N,Ar,Chenopodium,Amaranthaceae,,,archaeophyte,archaeophyte,archaeophyte,https://database.bsbi.org/object.php?entityid=2cd4p9h.xg8&class=TaxonInstance,
Oxybasis rubra,Oxybasis rubra,Chenopodium rubrum,,,,A,2cd4p9h.f57,,L.,Red Goosefoot,,,,unchecked,b,Chenopodium rubrum,Vas_496,NBNSYS0000003102,species,,N,N,Chenopodium,Amaranthaceae,Chenopodium rubrum var. pseudobotryoides,Chenopodium rubrum var. pseudobotryoides H.C.Watson,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.f57&class=TaxonInstance,
Oxybasis urbica,Oxybasis urbica,Chenopodium urbicum,,,,A,2cd4p9h.br7,,L.,Upright Goosefoot,,,,unchecked,b,Chenopodium urbicum,Vas_498,NBNSYS0000003100,species,,N,Ar,Chenopodium,Amaranthaceae,,,archaeophyte,archaeophyte,archaeophyte,https://database.bsbi.org/object.php?entityid=2cd4p9h.br7&class=TaxonInstance,
Chenopodium vulvaria,Chenopodium vulvaria,Chenopodium vulvaria,2,18,9,A,2cd4p9h.vbm,,L.,Stinking Goosefoot,,,,unchecked,b,Chenopodium vulvaria,Vas_500,NBNSYS0000003090,species,,N,Ar,Chenopodium,Amaranthaceae,,,archaeophyte,archaeophyte,archaeophyte,https://database.bsbi.org/object.php?entityid=2cd4p9h.vbm&class=TaxonInstance,
Glebionis segetum,Glebionis segetum,Chrysanthemum segetum,,,,A,2cd4p9h.7hwxa4,,L.,,Glebionis segetum,(L.) Fourr.,2cd4p9h.8gz,unchecked,b,Chrysanthemum segetum,Vas_504,NBNSYS0000004463,species,,,,Chrysanthemum,Asteraceae,,,archaeophyte (inferred),archaeophyte (inferred),archaeophyte (inferred),https://database.bsbi.org/object.php?entityid=2cd4p9h.7hwxa4&class=TaxonInstance,
Chrysosplenium alternifolium,Chrysosplenium alternifolium,Chrysosplenium alternifolium,,,,P,2cd4p9h.8h5,,L.,Alternate-leaved Golden-saxifrage,,,,confirmed,b,Chrysosplenium alternifolium,Vas_505,NBNSYS0000003511,species,,N,N,Chrysosplenium,Saxifragaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.8h5&class=TaxonInstance,
Chrysosplenium oppositifolium,Chrysosplenium oppositifolium,Chrysosplenium oppositifolium,,,,P,2cd4p9h.f5g,,L.,Opposite-leaved Golden-saxifrage,,,,confirmed,b,Chrysosplenium oppositifolium,Vas_506,NBNSYS0000003510,species,,N,N,Chrysosplenium,Saxifragaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.f5g&class=TaxonInstance,
Cicendia filiformis,Cicendia filiformis,Cicendia filiformis,,,,A,2cd4p9h.8hb,,(L.) Delarbre,Yellow Centaury,,,,unchecked,b,Cicendia filiformis,Vas_507,NBNSYS0000003956,species,,N,N,Cicendia,Gentianaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.8hb&class=TaxonInstance,
Cicerbita alpina,Lactuca alpina,Cicerbita alpina,,,,P,2cd4p9h.vbp,,(L.) Wallr.,Alpine Blue-sow-thistle,,,,unchecked,b,Cicerbita alpina,Vas_508,NBNSYS0000004546,species,,N,N,Cicerbita,Asteraceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.vbp&class=TaxonInstance,
Cichorium intybus,Cichorium intybus,Cichorium intybus,,,,P,2cd4p9h.xgb,,L.,Chicory,,,,unchecked,b,Cichorium intybus,Vas_509,NBNSYS0000004514,species,,N,Ar,Cichorium,Asteraceae,Cichorium intybus subsp. foliosum;Cichorium intybus subsp. intybus;Cichorium intybus subsp. silvestre;Cichorium intybus subsp. sativum;Cichorium intybus white form,Cichorium intybus subsp. foliosum (Hegi) Janch.;Cichorium intybus subsp. intybus L.;Cichorium intybus subsp. silvestre (Bisch.) Janch.;Cichorium intybus subsp. sativum (Bisch.) Janchen;Cichorium intybus L. white form,archaeophyte,archaeophyte,archaeophyte,https://database.bsbi.org/object.php?entityid=2cd4p9h.xgb&class=TaxonInstance,
Cicuta virosa,Cicuta virosa,Cicuta virosa,,,,P,2cd4p9h.f5m,,L.,Cowbane,,,,unchecked,b,Cicuta virosa,Vas_510,NBNSYS0000003674,species,,N,N,Cicuta,Apiaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.f5m&class=TaxonInstance,
Circaea alpina,Circaea alpina,Circaea alpina,2,22,11,P,2cd4p9h.4zb,,L.,Alpine Enchanter's-nightshade,,,,unchecked,b,Circaea alpina,Vas_511,NBNSYS0000003606,species,,N,N,Circaea,Onagraceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.4zb&class=TaxonInstance,
Circaea lutetiana,Circaea lutetiana,Circaea lutetiana,2,22,11,P,2cd4p9h.vbs,,L.,Enchanter's-nightshade,,,,unchecked,b,Circaea lutetiana,Vas_513,NBNSYS0000003604,species,,N,N,Circaea,Onagraceae,Circaea lutetiana f. cordifolia,Circaea lutetiana f. cordifolia Lasch,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.vbs&class=TaxonInstance,
Cirsium acaule,Cirsium acaulon,Cirsium acaule,,,,P,2cd4p9h.8he,,(L.) Scop.,Dwarf Thistle,,,,unchecked,b,Cirsium acaule,Vas_514,NBNSYS0000004494,species,,N,N,Cirsium,Asteraceae,Cirsium acaule subsp. acaule,Cirsium acaule subsp. acaule (L.) Scop.,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.8he&class=TaxonInstance,
Cirsium arvense,Cirsium arvense,Cirsium arvense,2,34,17,P,2cd4p9h.8hh,,(L.) Scop.,Creeping Thistle,,,,unchecked,b,Cirsium arvense,Vas_515,NBNSYS0000004492,species,,N,N,Cirsium,Asteraceae,Cirsium arvense var. horridum;Cirsium arvense var. integrifolium;Cirsium arvense var. maritimum;Cirsium arvense var. vestitum;Cirsium arvense var. setosum;Cirsium arvense var. incanum;Cirsium arvense var. arvense;Cirsium arvense var. mite,Cirsium arvense var. horridum Wimm. & Grab.;Cirsium arvense var. integrifolium Wimm. & Grab.;Cirsium arvense var. maritimum Fr.;Cirsium arvense var. vestitum Wimm. & Grab.;Cirsium arvense var. setosum;Cirsium arvense var. incanum (Fisch.) Ledeb.;Cirsium arvense var. arvense (L.) Scop.;Cirsium arvense var. mite Wimm. & Grab.,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.8hh&class=TaxonInstance,
Cirsium dissectum,Cirsium dissectum,Cirsium dissectum,2,34,17,P,2cd4p9h.8hk,,(L.) Hill,Meadow Thistle,,,,unchecked,b,Cirsium dissectum,Vas_516,NBNSYS0000004496,species,,N,N,Cirsium,Asteraceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.8hk&class=TaxonInstance,
Cirsium eriophorum,Cirsium eriophorum,Cirsium eriophorum,2,34,17,B,2cd4p9h.xge,,(L.) Scop.,Woolly Thistle,,,,unchecked,b,Cirsium eriophorum,Vas_517,NBNSYS0000004489,species,,N,N,Cirsium,Asteraceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.xge&class=TaxonInstance,
Cirsium heterophyllum,Cirsium heterophyllum,Cirsium heterophyllum,2,34,17,P,2cd4p9h.4ze,,(L.) Hill,Melancholy Thistle,,,,unchecked,b,Cirsium heterophyllum,Vas_518,NBNSYS0000004495,species,,N,N,Cirsium,Asteraceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.4ze&class=TaxonInstance,
Cirsium palustre,Cirsium palustre,Cirsium palustre,2,34,17,B,2cd4p9h.8hn,,(L.) Scop.,Marsh Thistle,,,,unchecked,b,Cirsium palustre,Vas_520,NBNSYS0000004491,species,,N,N,Cirsium,Asteraceae,Cirsium palustre var. palustre;Cirsium palustre var. ferox,Cirsium palustre var. palustre (L.) Scop.;Cirsium palustre var. ferox Druce,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.8hn&class=TaxonInstance,
Cirsium tuberosum,Cirsium tuberosum,Cirsium tuberosum,2,34,17,P,2cd4p9h.bra,,(L.) All.,Tuberous Thistle,,,,unchecked,b,Cirsium tuberosum,Vas_521,NBNSYS0000004497,species,,N,N,Cirsium,Asteraceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.bra&class=TaxonInstance,
Cirsium vulgare,Cirsium vulgare,Cirsium vulgare,4,68,17,B,2cd4p9h.qd,,(Savi) Ten.,Spear Thistle,,,,unchecked,b,Cirsium vulgare,Vas_522,NBNSYS0000004490,species,,N,N,Cirsium,Asteraceae,Cirsium vulgare var. litorale;Cirsium vulgare var. vulgare;Cirsium vulgare var. hypoleucum,Cirsium vulgare var. litorale P.D.Sell;Cirsium vulgare var. vulgare (Savi) Ten.;Cirsium vulgare var. hypoleucum,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.qd&class=TaxonInstance,
Cladium mariscus,Cladium mariscus,Cladium mariscus,,,,P,2cd4p9h.vc3,,(L.) Pohl,Great Fen-sedge,,,,unchecked,b,Cladium mariscus,Vas_523,NBNSYS0000002409,species,,N,N,Cladium,Cyperaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.vc3&class=TaxonInstance,
Clematis vitalba,Clematis vitalba,Clematis vitalba,2,16,8,P,2cd4p9h.8hq,,L.,Traveller's-joy,,,,confirmed,b,Clematis vitalba,Vas_528,NBNSYS0000002704,species,,N,N,Clematis,Ranunculaceae,,,native,alien,alien,https://database.bsbi.org/object.php?entityid=2cd4p9h.8hq&class=TaxonInstance,
Clinopodium acinos,Clinopodium acinos,Clinopodium acinos,,,,A,2cd4p9h.bwx,,(L.) Kuntze,Basil Thyme,,,,unchecked,b,Clinopodium acinos,Vas_12,NBNSYS0000004216,species,,N,N,Clinopodium,Lamiaceae,,,native,alien,alien,https://database.bsbi.org/object.php?entityid=2cd4p9h.bwx&class=TaxonInstance,
Clinopodium ascendens,Clinopodium menthifolium,Clinopodium ascendens,,,,P,2cd4p9h.mh,,(Jord.) Samp.,Common Calamint,,,,unchecked,b,Clinopodium ascendens,Vas_296,NHMSYS0000457382,species,,N,N,Clinopodium,Lamiaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.mh&class=TaxonInstance,
Clinopodium nepeta,Clinopodium nepeta,Clinopodium calamintha,,,,P,2cd4p9h.4re,,(L.) Stace,Lesser Calamint,,,,unchecked,b,Clinopodium calamintha,Vas_298,NBNSYS0000004215,species,,N,N,Clinopodium,Lamiaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.4re&class=TaxonInstance,
Clinopodium menthifolium,Clinopodium menthifolium,Clinopodium menthifolium,,,,P,2cd4p9h.r0f,,(Host) Stace,Wood Calamint,,,,unchecked,b,Clinopodium menthifolium,Vas_297,NBNSYS0000004213,species,,N,N,Clinopodium,Lamiaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.r0f&class=TaxonInstance,
Clinopodium vulgare,Clinopodium vulgare,Clinopodium vulgare,,,,P,2cd4p9h.brg,,L.,Wild Basil,,,,unchecked,b,Clinopodium vulgare,Vas_530,NBNSYS0000004217,species,,N,N,Clinopodium,Lamiaceae,,,native,alien,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.brg&class=TaxonInstance,
Cochlearia anglica,Cochlearia anglica,Cochlearia anglica,6,36,6,B,2cd4p9h.yhm,,L.,English Scurvygrass,,,,unchecked,b,Cochlearia anglica,Vas_532,NBNSYS0000002855,species,,N,N,Cochlearia,Brassicaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.yhm&class=TaxonInstance,
Cochlearia danica,Cochlearia danica,Cochlearia danica,6,42,7,A,2cd4p9h.yhp,,L.,Danish Scurvygrass,,,,unchecked,b,Cochlearia danica,Vas_533,NBNSYS0000002854,species,,N,N,Cochlearia,Brassicaceae,Cochlearia danica var. agglomerata,Cochlearia danica var. agglomerata Cowan,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.yhp&class=TaxonInstance,
Cochlearia micacea,Cochlearia micacea,Cochlearia micacea,,,,B,2cd4p9h.qs9,,E.S.Marshall,Mountain Scurvygrass,,,,unchecked,b,Cochlearia micacea,Vas_534,NHMSYS0000457396,species,,N,N,Cochlearia,Brassicaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.qs9&class=TaxonInstance,
Cochlearia officinalis,Cochlearia officinalis,Cochlearia officinalis,4,24,6,P,2cd4p9h.7mxs2v,agg.,,,,,,unchecked,b,Cochlearia officinalis,Vas_2547,NHMSYS0000457398,species,,,,Cochlearia,Brassicaceae,Cochlearia officinalis s.s.;Cochlearia pyrenaica;Cochlearia micacea,Cochlearia officinalis L. s.s.;Cochlearia pyrenaica DC.;Cochlearia micacea E.S.Marshall,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.7mxs2v&class=TaxonInstance,
Cochlearia officinalis,Cochlearia officinalis,Cochlearia officinalis,4,24,6,B,2cd4p9h.7mxs2v,agg.,,,,,,unchecked,b,Cochlearia officinalis,Vas_2547,NHMSYS0000457398,species,,,,Cochlearia,Brassicaceae,Cochlearia officinalis s.s.;Cochlearia pyrenaica;Cochlearia micacea,Cochlearia officinalis L. s.s.;Cochlearia pyrenaica DC.;Cochlearia micacea E.S.Marshall,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.7mxs2v&class=TaxonInstance,
Cochlearia pyrenaica,Cochlearia pyrenaica,Cochlearia pyrenaica,,,,B,2cd4p9h.71a,,DC.,Pyrenean Scurvygrass,,,,unchecked,b,Cochlearia pyrenaica,Vas_5422,NBNSYS0000002851,species,,N,N,Cochlearia,Brassicaceae,Cochlearia pyrenaica subsp. pyrenaica;Cochlearia pyrenaica subsp. alpina,Cochlearia pyrenaica subsp. pyrenaica DC.;Cochlearia pyrenaica subsp. alpina (Bab.) Dalby,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.71a&class=TaxonInstance,
Coeloglossum viride,Dactylorhiza viridis,Coeloglossum viride,2,40,20,P,2cd4p9h.8v1,,(L.) Hartm.,Frog Orchid,,,,confirmed,b,Coeloglossum viride,Vas_537,NHMSYS0000457408,species,,N,N,Coeloglossum,Orchidaceae,Coeloglossum viride var. viride;Coeloglossum viride var. bracteatum,Coeloglossum viride var. viride (L.) Hartm.;Coeloglossum viride var. bracteatum K.Richt.,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.8v1&class=TaxonInstance,
Coincya wrightii,Coincya wrightii,Coincya wrightii,,,,P,2cd4p9h.1q3,,(O.E.Schulz) Stace,Lundy Cabbage,,,,unchecked,b,Coincya wrightii,Vas_1690,NHMSYS0000457413,species,,N,N,Coincya,Brassicaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.1q3&class=TaxonInstance,
Colchicum autumnale,Colchicum autumnale,Colchicum autumnale,,,,P,2cd4p9h.yv3,,L.,Meadow Saffron,,,,confirmed,b,Colchicum autumnale,Vas_538,NBNSYS0000002189,species,,N,N,Colchicum,Colchicaceae,,,native,native,alien,https://database.bsbi.org/object.php?entityid=2cd4p9h.yv3&class=TaxonInstance,
Comarum palustre,Comarum palustre,Comarum palustre,5,35,7,P,2cd4p9h.6y8hka,,L.,,,,,unchecked,b,Comarum palustre,Vas_1592,NBNSYS0000144930,species,,,,Comarum,Rosaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.6y8hka&class=TaxonInstance,
Conium maculatum,Conium maculatum,Conium maculatum,,,,B,2cd4p9h.brm,,L.,Hemlock,,,,unchecked,b,Conium maculatum,Vas_540,NBNSYS0000003655,species,,N,Ar,Conium,Apiaceae,,,archaeophyte,archaeophyte,archaeophyte,https://database.bsbi.org/object.php?entityid=2cd4p9h.brm&class=TaxonInstance,
Conopodium majus,Conopodium majus,Conopodium majus,,,,P,2cd4p9h.brs,,(Gouan) Loret,Pignut,,,,unchecked,b,Conopodium majus,Vas_541,NBNSYS0000003681,species,,N,N,Conopodium,Apiaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.brs&class=TaxonInstance,
Convallaria majalis,Convallaria majalis,Convallaria majalis,,,,P,2cd4p9h.4zq,,L.,Lily-of-the-valley,,,,confirmed,b,Convallaria majalis,Vas_543,NBNSYS0000002161,species,,N,N,Convallaria,Asparagaceae,,,native,alien,alien,https://database.bsbi.org/object.php?entityid=2cd4p9h.4zq&class=TaxonInstance,
Convolvulus arvensis,Convolvulus arvensis,Convolvulus arvensis,,,,P,2cd4p9h.qs,,L.,Field Bindweed,,,,unchecked,b,Convolvulus arvensis,Vas_544,NBNSYS0000004022,species,,N,N,Convolvulus,Convolvulaceae,Convolvulus arvensis var. stonestreetii;Convolvulus arvensis var. arvensis;Convolvulus arvensis f. arvensis;Convolvulus arvensis f. decarrhabdotus;Convolvulus arvensis f. decemvulnerus;Convolvulus arvensis f. notatus;Convolvulus arvensis f. pallidinotatus;Convolvulus arvensis f. pallidiroseus;Convolvulus arvensis f. pentarrhabdotus;Convolvulus arvensis f. pentastictus;Convolvulus arvensis f. perroseus;Convolvulus arvensis f. quinquevulnerus;Convolvulus arvensis f. stonestreetii,Convolvulus arvensis var. stonestreetii Druce;Convolvulus arvensis var. arvensis L.;Convolvulus arvensis f. arvensis L.;Convolvulus arvensis f. decarrhabdotus P.D.Sell;Convolvulus arvensis f. decemvulnerus P.D.Sell;Convolvulus arvensis f. notatus P.D.Sell;Convolvulus arvensis f. pallidinotatus P.D.Sell;Convolvulus arvensis f. pallidiroseus P.D.Sell;Convolvulus arvensis f. pentarrhabdotus P.D.Sell;Convolvulus arvensis f. pentastictus P.D.Sell;Convolvulus arvensis f. perroseus P.D.Sell;Convolvulus arvensis f. quinquevulnerus P.D.Sell;Convolvulus arvensis f. stonestreetii (Druce) Druce,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.qs&class=TaxonInstance,
Corallorhiza trifida,Corallorhiza trifida,Corallorhiza trifida,,,,P,2cd4p9h.501,,Châtel.,Coralroot Orchid,,,,confirmed,b,Corallorhiza trifida,Vas_545,NHMSYS0000457493,species,,N,N,Corallorhiza,Orchidaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.501&class=TaxonInstance,
Cornus sanguinea,Cornus sanguinea,Cornus sanguinea,2,22,11,P,2cd4p9h.f5s,,L.,Dogwood,,,,unchecked,b,Cornus sanguinea,Vas_548,NBNSYS0000003626,species,,N,N,Cornus,Cornaceae,Cornus sanguinea subsp. australis;Cornus sanguinea subsp. sanguinea,Cornus sanguinea subsp. australis (C.A. Mey.) Jáv.;Cornus sanguinea subsp. sanguinea L.,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.f5s&class=TaxonInstance,
Cornus suecica,Cornus suecica,Cornus suecica,,,,P,2cd4p9h.br1,,L.,Dwarf Cornel,,,,unchecked,b,Cornus suecica,Vas_478,NBNSYS0000003629,species,,N,N,Cornus,Cornaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.br1&class=TaxonInstance,
Lepidium coronopus,Lepidium coronopus,Coronopus squamatus,,,,A,2cd4p9h.f60,,(Forssk.) Asch.,Swine-cress,Lepidium coronopus,(L.) Al-Shehbaz,2cd4p9h.6y13br,unchecked,b,Coronopus squamatus,Vas_552,NHMSYS0000457521,species,,N,Ar,Coronopus,Brassicaceae,,,archaeophyte (inferred),archaeophyte (inferred),archaeophyte (inferred),https://database.bsbi.org/object.php?entityid=2cd4p9h.f60&class=TaxonInstance,
Corrigiola litoralis,Corrigiola litoralis,Corrigiola litoralis,,,,A,2cd4p9h.r3,,L.,Strapwort,,,,unchecked,b,Corrigiola litoralis,Vas_553,NBNSYS0000004581,species,,N,N,Corrigiola,Caryophyllaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.r3&class=TaxonInstance,
Corylus avellana,Corylus avellana,Corylus avellana,2,22,11,P,2cd4p9h.r9,,L.,Hazel,,,,confirmed,b,Corylus avellana,Vas_557,NBNSYS0000003839,species,,N,N,Corylus,Betulaceae,Corylus avellana 'Contorta';Corylus avellana 'Fuscorubra';Corylus avellana 'Red Majestic';Corylus avellana 'Pendula';Corylus avellana 'Heterophylla',Corylus avellana 'Contorta';Corylus avellana 'Fuscorubra';Corylus avellana 'Red Majestic';Corylus avellana 'Pendula';Corylus avellana 'Heterophylla',native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.r9&class=TaxonInstance,
Corynephorus canescens,Corynephorus canescens,Corynephorus canescens,2,14,7,P,2cd4p9h.50d,,(L.) P.Beauv.,Grey Hair-grass,,,,confirmed,b,Corynephorus canescens,Vas_558,NHMSYS0000457542,species,,N,N,Corynephorus,Poaceae,,,native,alien,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.50d&class=TaxonInstance,
Crambe maritima,Crambe maritima,Crambe maritima,4,60,15,P,2cd4p9h.vcf,,L.,Sea-kale,,,,unchecked,b,Crambe maritima,Vas_565,NBNSYS0000002821,species,,N,N,Crambe,Brassicaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.vcf&class=TaxonInstance,
Crassula aquatica,Crassula aquatica,Crassula aquatica,,,,A,2cd4p9h.vcv,,(L.) Schönland,Pigmyweed,,,,confirmed,b,Crassula aquatica,Vas_566,NHMSYS0000457654,species,,N,?N,Crassula,Crassulaceae,,,native or alien,native or alien,native or alien,https://database.bsbi.org/object.php?entityid=2cd4p9h.vcv&class=TaxonInstance,
Crassula tillaea,Crassula tillaea,Crassula tillaea,,,,A,2cd4p9h.f69,,Lest.-Garl.,Mossy Stonecrop,,,,confirmed,b,Crassula tillaea,Vas_567,NHMSYS0000457663,species,,N,N,Crassula,Crassulaceae,,,native,alien,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.f69&class=TaxonInstance,
Crataegus laevigata,Crataegus laevigata,Crataegus laevigata,2,34,17,P,2cd4p9h.yv9,,(Poir.) DC.,Midland Hawthorn,,,,confirmed,b,Crataegus laevigata,Vas_570,NHMSYS0000457671,species,,N,N,Crataegus,Rosaceae,Crataegus laevigata 'Paul's Scarlet';Crataegus laevigata 'Plena',Crataegus laevigata 'Paul's Scarlet';Crataegus laevigata 'Plena',native,alien,alien,https://database.bsbi.org/object.php?entityid=2cd4p9h.yv9&class=TaxonInstance,
